Bird.ID,Species,Species.Scientific,Nest.Type.Specific,Nest.Type,Sex,Family,Assay,Vocalizations,Songs,Hovers,Flyovers,Dives,Pecks,Attacks,Physical.Contact,Attack.Rate,Chase,Tail-flicks,Wing Waves,Copulation Attempts,Distance (raw/epochs),Mount.Sex
61,Carolina Wren,Thryothorus_ludovicianus,Facultative Cavity,zCavity,M,Troglodytidae,16,0,29,0,1,0,0,0,0,0,0,0,0,0,16.73913043,F
71,Carolina Wren,Thryothorus_ludovicianus,Facultative Cavity,zCavity,M,Troglodytidae,17,1,3,0,10,0,0,28,28,0.466666667,0,0,0,0,0.575,M
64,Carolina Wren,Thryothorus_ludovicianus,Facultative Cavity,zCavity,M,Troglodytidae,18,0,9,0,0,0,2,0,2,0.039215686,0,0,0,0,4.12745098,M
76,Carolina Wren,Thryothorus_ludovicianus,Facultative Cavity,zCavity,M,Troglodytidae,19,0,11,0,0,0,39,0,39,0.684210526,0,0,0,0,0.429824561,F
75,Carolina Wren,Thryothorus_ludovicianus,Facultative Cavity,zCavity,M,Troglodytidae,20,1,20,0,0,0,35,0,35,0.614035088,0,0,1,0,1.48245614,M
62,Carolina Wren,Thryothorus_ludovicianus,Facultative Cavity,zCavity,M,Troglodytidae,21,0,7,0,20,2,0,1,1,0.016666667,0,0,0,0,4.983333333,M
72,Carolina Wren,Thryothorus_ludovicianus,Facultative Cavity,zCavity,M,Troglodytidae,22,0,3,0,2,0,0,31,31,0.525423729,0,0,0,0,1.050847458,M
79,Eastern Bluebird,Sialia_sialis,Obligate.Cavity,zCavity,F,Turdidae,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4.346153846,NA
80,Eastern Bluebird,Sialia_sialis,Obligate.Cavity,zCavity,F,Turdidae,2,3,0,0,0,0,0,0,0,0,0,0,0,0,15,NA
81,Eastern Bluebird,Sialia_sialis,Obligate.Cavity,zCavity,F,Turdidae,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,NA
92,Eastern Bluebird,Sialia_sialis,Obligate.Cavity,zCavity,F,Turdidae,4,0,0,1,1,0,3,1,4,0.166666667,0,0,1,0,0,M
91,Eastern Bluebird,Sialia_sialis,Obligate.Cavity,zCavity,F,Turdidae,5,0,1,0,2,0,0,4,4,0.066666667,0,0,6,0,17,F
82,Eastern Bluebird,Sialia_sialis,Obligate.Cavity,zCavity,F,Turdidae,6,0,0,1,2,1,0,0,0,0,0,0,0,0,16.63636364,M
83,Eastern Bluebird,Sialia_sialis,Obligate.Cavity,zCavity,F,Turdidae,8,10,0,0,2,0,0,0,0,0,0,0,0,0,22.83333333,F
90,Eastern Bluebird,Sialia_sialis,Obligate.Cavity,zCavity,F,Turdidae,9,1,0,9,4,0,0,4,4,0.066666667,0,0,3,0,1.316666667,M
93,Eastern Bluebird,Sialia_sialis,Obligate.Cavity,zCavity,F,Turdidae,10,2,0,2,2,0,2,9,11,0.203703704,0,0,0,0,3.333333333,M
84,Eastern Bluebird,Sialia_sialis,Obligate.Cavity,zCavity,F,Turdidae,12,0,0,6,3,1,0,0,0,0,0,0,0,0,6.7,M
85,Eastern Bluebird,Sialia_sialis,Obligate.Cavity,zCavity,F,Turdidae,14,1,0,1,2,0,0,0,0,0,0,0,0,0,3.54,F
86,Eastern Bluebird,Sialia_sialis,Obligate.Cavity,zCavity,F,Turdidae,15,3,0,6,7,0,0,0,0,0,0,0,5,0,4.255319149,F
87,Eastern Bluebird,Sialia_sialis,Obligate.Cavity,zCavity,F,Turdidae,17,1,0,8,2,0,0,0,0,0,0,0,1,0,0.166666667,F
89,Eastern Bluebird,Sialia_sialis,Obligate.Cavity,zCavity,F,Turdidae,18,1,0,1,1,0,0,3,3,0.05,0,0,0,0,5.783333333,F
88,Eastern Bluebird,Sialia_sialis,Obligate.Cavity,zCavity,F,Turdidae,19,0,0,1,5,0,0,0,0,0,0,1,10,0,1.516666667,M
78,Eastern Bluebird,Sialia_sialis,Obligate.Cavity,zCavity,F,Turdidae,20,0,0,3,4,0,0,0,0,0,0,0,7,0,0.733333333,M
95,Eastern Bluebird,Sialia_sialis,Obligate.Cavity,zCavity,M,Turdidae,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4.442307692,NA
96,Eastern Bluebird,Sialia_sialis,Obligate.Cavity,zCavity,M,Turdidae,2,4,3,0,0,0,0,0,0,0,0,0,2,0,15,NA
97,Eastern Bluebird,Sialia_sialis,Obligate.Cavity,zCavity,M,Turdidae,2,3,0,0,0,0,0,0,0,0,0,0,0,0,15,NA
98,Eastern Bluebird,Sialia_sialis,Obligate.Cavity,zCavity,M,Turdidae,3,0,12,0,2,0,0,0,0,0,0,0,5,0,10,NA
110,Eastern Bluebird,Sialia_sialis,Obligate.Cavity,zCavity,M,Turdidae,4,2,16,6,1,0,22,2,24,0.4,0,0,7,0,11.85,M
105,Eastern Bluebird,Sialia_sialis,Obligate.Cavity,zCavity,M,Turdidae,5,1,30,0,3,0,0,2,2,0.033333333,0,0,54,0,15.48333333,F
109,Eastern Bluebird,Sialia_sialis,Obligate.Cavity,zCavity,M,Turdidae,6,3,1,1,1,1,0,6,6,0.230769231,0,0,4,0,12.69230769,M
